Timestamp,Sensor_ID,Asset_ID,Network_Element_ID,Latitude,Longitude,Parameter,Value,Unit,Quality_Status,Alarm_Status,Source_System,Zone_ID,File_Creation_Time
2026-05-27 00:00:00,PT-001,PIPE-001,PIPE-001,28.737,77.252,Pressure,32.72,mH2O,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,FT-001,FM-001,PIPE-011,28.739,77.25,Flow,778.54,m3/hr,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,LT-001,RES-001,RES-001,28.7355,77.2535,Reservoir_Level,5.88,m,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,PMP-001,PUMP-001,PUMP-001,28.74,77.253,Pump_Status,1,status,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,VT-001,VALVE-001,VALVE-001,28.735,77.251,Valve_Status,1,status,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-001,WQS-001,WQS-001,28.738,77.255,Chlorine,0.626,mg/L,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-001,WQS-001,WQS-001,28.738,77.255,Turbidity,0.86,NTU,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-001,WQS-001,WQS-001,28.738,77.255,pH,7.28,pH,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-001,WQS-001,WQS-001,28.738,77.255,Conductivity,735.3,uS/cm,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-001,WQS-001,WQS-001,28.738,77.255,Temperature,29.0,C,Valid,Normal,SCADA,DMA-01,2026-08-27 11:30:00
2026-05-27 00:00:00,PT-002,PIPE-002,PIPE-002,28.725,77.25,Pressure,28.66,mH2O,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,FT-002,FM-002,PIPE-012,28.727,77.248,Flow,869.16,m3/hr,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,LT-002,RES-002,RES-002,28.7235,77.2515,Reservoir_Level,6.0,m,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,PMP-002,PUMP-002,PUMP-002,28.728,77.251,Pump_Status,1,status,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,VT-002,VALVE-002,VALVE-002,28.723,77.249,Valve_Status,1,status,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-002,WQS-002,WQS-002,28.726,77.253,Chlorine,0.527,mg/L,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-002,WQS-002,WQS-002,28.726,77.253,Turbidity,0.94,NTU,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-002,WQS-002,WQS-002,28.726,77.253,pH,7.15,pH,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-002,WQS-002,WQS-002,28.726,77.253,Conductivity,619.6,uS/cm,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
2026-05-27 00:00:00,QT-002,WQS-002,WQS-002,28.726,77.253,Temperature,28.6,C,Valid,Normal,SCADA,DMA-02,2026-08-27 11:30:00
